datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Initial weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
bisr_controversial_weapons_flag,BISR-assessed flag indicating the company is involved in the value chain of at least one of the seven controversial weapon categories defined in Appendix II.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "Appendix II: Controversial Weapons Involvement Criteria"
bisr_assessed,Indicates whether the company has been assessed by MSCI Solutions on MSCI Business Involvement Screening Research data.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "2.3 Treatment of Unrated Companies"
gics_industry_group,GICS Industry Group classification of the company used to determine exclusion treatment for companies not assessed by BISR.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "2.3 Treatment of Unrated Companies"
is_new_parent_addition,Indicates the security was newly added to the parent GIMI index since the last Index Review (IPO other early inclusion or size-segment migration).,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
is_spinoff_from_constituent,Indicates the security was created as a result of a spin-off from an existing index constituent.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
is_acquisition_target,Indicates the security is an existing index constituent being acquired in an M&A event.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
acquirer_is_index_constituent,Indicates whether the acquiring company in an M&A event is itself an index constituent.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
has_characteristics_change,Indicates the security has had a change in index characteristics (country sector size segment etc.) since the last review.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
is_parent_deletion_event,Indicates the security has been deleted from the parent GIMI index at this event time.,meth-pipeline/MSCI_Global_ex_Controversial_Weapons_Indexes_Methodology_20251211/2026-04-23T20-59-13Z/input/markdown.md section "3.2 Ongoing Event-Related Maintenance"
