datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Constituent weight output from Barra Open Optimizer (GEMLTL model) minimizing tracking error to Parent Index subject to climate and diversification constraints.,methbooks/mock_universe.py
msci_controversy_score,MSCI Controversies Score on a 0-10 scale; 0 = most severe (Red Flag).,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""4.2 MSCI Controversies"""
msci_environmental_controversy_score,MSCI Environmental Controversy Score on a 0-10 scale; 0 = Red Flag; 1 = Orange Flag.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
bisr_tobacco_manufacturing_flag,True if the company is involved in the manufacturing of Tobacco products.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
bisr_thermal_coal_mining_revenue_pct,Revenue percentage (reported or estimated) from mining of thermal coal sold to external parties.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
bisr_thermal_coal_distribution_flag,True if the company has evidence of thermal coal distribution or transport involvement.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
bisr_oil_gas_revenue_pct,Aggregate revenue percentage from oil and gas related activities.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
bisr_fossil_fuel_power_generation_revenue_pct,Aggregate revenue percentage from thermal coal; liquid fuel; and natural gas based power generation.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.3 Eligible Universe"""
ghg_intensity_scope123,Security Level GHG Intensity (Scope 1+2+3) in tCO2e per million USD EVIC.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""Appendix I: Calculation of Target Metrics"""
parent_index_weight,Security weight in the Parent Index.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.1 Applicable Universe"""
reference_index_weight,Security weight in the Reference Index (free float-adjusted market capitalization weighted per GIMI methodology).,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.2 Reference Indexes"""
high_climate_impact_sector,True if the company is classified as belonging to a high climate impact sector.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.5 Optimization Constraints"""
is_rated_msci_controversies,True if the company has been assessed by MSCI Solutions for MSCI Controversies.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.7 Treatment of Unrated Companies"""
is_rated_msci_climate,True if the company has been assessed by MSCI Solutions for MSCI Climate Change Metrics.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.7 Treatment of Unrated Companies"""
is_rated_msci_bisr,True if the company has been assessed by MSCI Solutions for MSCI BISR.,"methbooks/data/markdown/MSCI_EU_CTB_PAB_Overlay_Indexes_Methodology_20260211.md section ""2.7 Treatment of Unrated Companies"""
none,TODO,TODO
